Various,le pin,pine tree
Various,le lame,razor balde
Various,chagrin,sadness
Various,le baluchon,the bindle
Various,le fuseau horaire,the timezone
Various,jour férié,bank holiday / public holiday
Various,bine être,wellbeing
Various,un domestique,a servant
Idioms,avoir les patates,to be in great form
Idioms,avoir la pêche,to be in great form
Idioms,être lessivé,to be wrecked tired
Idioms,être crevé,to be wrecked tired
Idioms,avoir la tête dans les nuages,have your head in the clouds
Idioms,avoir un poli dans la main,to be very lazy/useless
Idioms,se tenir à carreau,calm down
Idioms,fumer comme un pompier,to smoke a lot
Idioms,mettre les pieds dans le plat,to speak your mind
Idioms,rentrer dans sa coquille,retreat into your shell
Idioms,se couper les cheveux en quatre,to go above and beyond to achieve a goal
Idioms,casser les pieds,to wreck someone's head
Idioms,avoir le melon,to have a big head
Idioms,avoir la main vert,to be good at gardening
Idioms,broyer du noir,things are going badly
Idioms,avoid le cafard,things are going badly
Idioms,tomber dans les pommes,to be sick
Idioms,donner sa langue au chat,not to know the answer to a question
Idioms,raconter des salades,tell stories which are untrue
Idioms,attention ca va faire mal,it's going to hurt
Idioms,quelle nouille,what an idiot
Idioms,attention je t'ai à l'oeil,"watch out, I've got my eye on you"
Idioms,va te faire cuire un oeuf,get lost!
Idioms,c'est le pompon,that's where I draw the line
Idioms,t'es pas ma tasse de tea,you're not my cup of tea
Idioms,quelle peau de vache,bastard
Idioms,mi figue mi raisan,neither good nor bad
Idioms,je suis une bombe,I'm in great form
Idioms,quelle temps de chien,what horrible weather
Idioms,c'est trop chouette,that's super
Idioms,mon choux,my dear
Idioms,ca va être ta fête,you're going to get it
Idioms,ramènes pas ta fraise,shut up
Idioms,c'est la fin des haricots,that's the last straw
Idioms,t'es pas une lumière,you're not the brightest
Various,malgre,in spite of
Various,être angoissé,to be worried
Various,ennyeux,boring
Various,paisible,peaceful
Various,la soie,silk
Various,le défi,challenge
Various,profiter de,to make use of
Various,forfait,fixed price
Various,payer en plusiers fois,pay in installments
Localisation words,en haut,on high
Localisation words,en bas,down low
Various,le sondage,survey / poll
Vacation,prendre des rensigements,to search for information
Vacation,faire la valise,packing
Vacation,les habitants,the people (living in a country)
Vacation,le parcour,journey / route
Vacation,le périple,itinerant journey
Vacation,des échantillons,small bottles (for make-up)
Various,la grasse matinée,a lie in
Vacation,mettre sous vide,to vacum pack
Cultural Activities,un pièce de theatre,a play
Cultural Activities,assister à,to attend
Cultural Activities,le chapiteau,circus big top
Cultural Activities,les activities culturelle,cultural activities
Cultural Activities,les comédies musicales,musical comedies
Cultural Activities,les comédies,comedies (theatre)
Cultural Activities,le drame,drama play
Cultural Activities,les tragédies,tragedies
Cultural Activities,aller au musée,go to a museum
Cultural Activities,aller au cinema,go to the cinema
Cultural Activities,écouter de la musique,listen to music
Cultural Activities,aller aux concerts,go to concerts
Cultural Activities,aller à l'opera,go to the opera
